v1,v2
ham	If we hit it off, you can move in with me :)
ham	Aight, I'll ask a few of my roommates
ham	Now, whats your house # again ? And do you have any beer there ?
spam	Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX
spam	FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV
spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate 
ham	Sir, i am waiting for your call.
ham	It could work, we'll reach a consensus at the next meeting
ham	Aight, I'll text you when I'm back
ham	Sorry, I can't help you on this.
ham	Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(
ham	Uh, heads up we don't have THAT much left
ham	Aight, sounds good. When do you want me to come down?
ham	Sorry, I'll call later
ham	There're some people by mu, I'm at the table by lambda
ham	Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!
"ham	My planning usually stops at ""find hella weed"," smoke hella weed"""
"ham	The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do"," not what i need to do."""
ham	Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu
ham	Aight I'll grab something to eat too, text me when you're back at mu
ham	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
ham	Sorry, I'll call later
ham	Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; 
ham	Sorry, I'll call later
"ham	""YEH I AM DEF UP4 SOMETHING SAT","JUST GOT PAYED2DAY & I HAVBEEN GIVEN AÂ£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"""
ham	Goodmorning, today i am late for  &lt;DECIMAL&gt; min.
ham	Princess, is your kitty shaved or natural?
ham	Better than bb. If he wont use it, his wife will or them doctor
ham	I don't have anybody's number, I still haven't thought up a tactful way to ask alex
ham	Yes obviously, but you are the eggs-pert and the potato headâ¦ Speak soon! 
ham	Nah man, my car is meant to be crammed full of people
ham	Ugh y can't u just apologize, admit u were wrong and ask me to take u back?
ham	I noe la... U wana pei bf oso rite... K lor, other days den...
ham	Yes, i'm small kid.. And boost is the secret of my energy..
ham	Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.
ham	Me not waking up until 4 in the afternoon, sup
ham	Aight fuck it, I'll get it later
ham	Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...
ham	Sir, I am waiting for your mail.
ham	Nothing, i got msg frm tht unknown no..
ham	Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...
spam	FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop
ham	Trust me. Even if isn't there, its there.
ham	you are sweet as well, princess. Please tell me your likes and dislikes in bed...
"ham	""alright babe"," justthought iÂd sayhey! how u doin?nearly the endof me wk offdam nevamind!We will have 2Hook up sn if uwant m8? loveJen x."""
ham	Probably, want to pick up more?
ham	No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?
spam	SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE
ham	Hmmm ... And imagine after you've come home from that having to rub my feet, make me dinner and help me get ready for my date ! Are you sure your ready for that kind of life ?
spam	FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk
ham	It's that time of the week again, ryan
ham	Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at
ham	Sorry im getting up now, feel really bad- totally rejected that kinda me thing.
ham	Carlos took a while (again), we leave in a minute
ham	Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.
ham	The table's occupied, I'm waiting by the tree
ham	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
ham	Nothing really, just making sure everybody's up to speed
ham	Thank you. And by the way, I just lost.
ham	Hiya, had a good day? Have you spoken to since the weekend?
ham	I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday
ham	Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea
ham	Not much, just some textin'. How bout you?
ham	(And my man carlos is definitely coming by mu tonight, no excuses)
ham	Hmm well, night night 
ham	Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!
ham	This is one of the days you have a billion classes, right?
ham	Goodmorning, today i am late for 2hrs. Because of back pain.
spam	Thanks for your ringtone order, ref number K718. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069120
ham	Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...
ham	K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)
"ham	""Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtÂbraindanceÂa comp.ofstuff on aphexÂs ;abel","u hav2hear it!c u sn xxxx"""
ham	Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.
spam	Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!
spam	Thanks for your ringtone order, ref number R836. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069154
ham	Just checked out, heading out to drop off my stuff now
ham	Haha awesome, I've been to 4u a couple times. Who all's coming?
ham	Sorry, I'll call later in meeting
ham	I hav almost reached. Call, i m unable to connect u.
ham	Velly good, yes please!
ham	Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
ham	HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.
ham	&lt;#&gt; , that's all? Guess that's easy enough
ham	Aight that'll work, thanks
ham	I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?
spam	tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..
ham	Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........
spam	URGENT! Your mobile number *************** WON a Â£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
ham	Alright, see you in a bit
ham	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
ham	Hi this is yijue, can i meet u at 11 tmr?
spam	Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 Â£3 
spam	Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic
ham	Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.
spam	Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play Â£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088
ham	That day Ã¼ say Ã¼ cut ur hair at paragon, is it called hair sense? Do Ã¼ noe how much is a hair cut? 
ham	Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho
ham	Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com
ham	Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.
ham	If i let you do this, i want you in the house by 8am.
ham	Sorry, I'll call later
spam	Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p
ham	Thanks da thangam, i feel very very happy dear. I also miss you da.
ham	Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. 
ham	Babe, I'm back ... Come back to me ...
"ham	One of best dialogue in cute reltnship..!! ""Wen i Die", Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8
ham	Come to me right now, Ahmad
ham	Could you not read me, my Love ? I answered you
spam	For ur chance to win Â£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.
ham	Great. I'm in church now, will holla when i get out
ham	Yes but i dont care! I need you bad, princess!
ham	The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight
ham	Sorry, I'll call later
ham	Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?
ham	Cool, I'll text you when I'm on the way
ham	sry can't talk on phone, with parents
ham	Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!
ham	I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.
spam	Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007
spam	Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer
ham	Greetings me, ! Consider yourself excused.
ham	You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget
ham	I know where the  &lt;#&gt;  is, I'll be there around 5
ham	Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry
ham	U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...
ham	Sorry, I'll call later
ham	Sorry, I'll call later
ham	Sorry, I'll call later
ham	Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again
ham	They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.
ham	She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.
spam	Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk
ham	Oh fine, I'll be by tonight
spam	FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)
ham	Some friends want me to drive em someplace, probably take a while
ham	Yeah I am, so I'll leave maybe 7ish?
ham	The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel
spam	3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs Â£1.50 each
ham	Goodmorning, today i am late for 1hr.
ham	Aight, see you in a bit
ham	My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?
ham	Gosh that , what a pain. Spose I better come then.
ham	As usual..iam fine, happy &amp; doing well..:)
ham	Awesome, text me when you're restocked
ham	As usual..iam fine, happy &amp; doing well..:)
ham	Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.
ham	That's what I love to hear :V see you sundayish, then
ham	Sorry da thangam, very very sorry i am held up with prasad.
spam	You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18
ham	They can try! They can get lost, in fact. Tee hee
ham	Sorry, I'll call later
ham	Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
ham	You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management
spam	Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
ham	That's cool, I'll come by like  &lt;#&gt; ish
spam	New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message
ham	Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..
spam	Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm
ham	Omw back to tampa from west palm, you hear what happened?
ham	Nah, I'm a perpetual DD
ham	Tunde, how are you doing. This is just wishing you a great day. Abiola.
ham	I sent you the prices and do you mean the  &lt;#&gt; g,
ham	Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with
ham	Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...
ham	Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!
ham	Dude u knw also telugu..thts gud..k, gud nyt..
spam	For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.
ham	Just arrived, see you in a couple days &lt;3
ham	K, wat s tht incident?
ham	Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?
ham	Alright if you're sure, let me know when you're leaving
ham	Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!
ham	Easy mate, * guess the quick drink was bit ambitious.
ham	Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.
spam	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply
spam	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
ham	Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
ham	Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.
ham	Aight, tomorrow around  &lt;#&gt;  it is
spam	YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.
spam	Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX
ham	Yeah there's quite a bit left, I'll swing by tomorrow when I get up
spam	pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL
ham	Bill, as in: Are there any letters for me. iâm expecting one from orange that isnât a bill but may still say orange on it.
ham	Ha. You donât know either. I did a a clever but simple thing with pears the other day, perfect for christmas.
ham	Sorry,in meeting I'll call later
ham	Thanx 4 the time weÂve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx
ham	Yo, any way we could pick something up tonight?
ham	Yeah, we got one lined up for us
spam	URGENT! Your mobile was awarded a Â£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011
ham	Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.
spam	Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?
ham	Are you being good, baby? :)
ham	Mostly sports type..lyk footbl,crckt..
"ham	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students",this wont even start........ Datz confidence..
ham	I'll text carlos and let you know, hang on
ham	Don't worry, * is easy once have ingredients!
ham	Ok omw now, you at castor?
spam	Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2
ham	Tonight? Yeah, I'd be down for that
ham	He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! 
ham	I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz
spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
ham	No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second
ham	Oh, then your phone phoned me but it disconnected
ham	Excellent, I'll see what riley's plans are
spam	Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
ham	Hm good morning, headache anyone? :-)
ham	Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.
ham	Aight, lemme know what's up
ham	Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details
ham	Sounds good, keep me posted
ham	Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola
ham	And very importantly, all we discuss is between u and i only.
ham	Dear, take care. I am just reaching home.love u a lot.
ham	Yo, you at jp and hungry like a mofo?
ham	U so lousy, run already come back then half dead... Hee...
ham	I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.
"ham	Short But Cute : "" Be a good person "," but dont try to prove"" ..... Gud mrng..."
ham	Wat time liao, where still got.
ham	Haha better late than ever, any way I could swing by?
spam	LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.
ham	Haha I heard that, text me when you're around
ham	Sorry,  in meeting I'll call you later
spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
ham	Haven't seen my facebook, huh? Lol!
ham	Mah b, I'll pick it up tomorrow
ham	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da
spam	This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate
ham	OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx
ham	Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?
spam	Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180
ham	I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?
ham	Yes, princess. Toledo.
ham	Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me
"ham	A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd"," but watever u shared should be true""...."
ham	Sorry, I can't help you on this.
ham	Babe, I need your advice
ham	Iâll leave around four, ok?
spam	44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.
ham	MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night
ham	The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard
spam	Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p 
ham	Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)
ham	Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)
ham	It'll be tough, but I'll do what I have to
ham	Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!
spam	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
ham	No worries, hope photo shoot went well. have a spiffing fun at workage. 
ham	No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore
spam	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P
ham	That's fine, have him give me a call if he knows what he wants or has any questions
ham	K, if u bored up just come to my home..
ham	Like I made him throw up when we were smoking in our friend's car one time, it was awesome
ham	Sorry, I'll call later
ham	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..
ham	Yo my trip got postponed, you still stocked up?
ham	Sorry, I'll call later
ham	Hey elaine, is today's meeting still on?
ham	Looks like you found something to do other than smoke, great job!
ham	Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea
spam	complimentary 4 STAR Ibiza Holiday or Â£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+
ham	Well, I meant as opposed to my drunken night of before
ham	Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x
ham	I'm in a meeting, call me later at
ham	Yeah we wouldn't leave for an hour at least, how's 4 sound?
ham	Jus chillaxin, what up
ham	Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! 
ham	Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna
ham	K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...
ham	Haha figures, well I found the piece and priscilla's bowl
ham	I think Iâm waiting for the same bus! Inform me when you get there, if you ever get there.
ham	, how's things? Just a quick question.
ham	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
ham	I can probably come by, everybody's done around  &lt;#&gt;  right?
ham	Yeah, probably earlier than that
ham	Cool, text me when you head out
spam	You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P
ham	Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served
ham	life alle mone,eppolum oru pole allalo
ham	Well, I was about to give up cos they all said no they didnât do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?
ham	Im sorry bout last nite it wasnÂt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx
spam	You are a Â£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE
ham	Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?
ham	Sorry, I'll call later
ham	I'll get there at 3, unless you guys want me to come some time sooner
spam	Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel
"ham	Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but", don't miss ur best life for anything... Gud nyt...
ham	I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like
ham	Dad wanted to talk about the apartment so I got a late start, omw now
spam	Auction round 4. The highest bid is now Â£54. Next maximum bid is Â£71. To bid, send BIDS e. g. 10 (to bid Â£10) to 83383. Good luck.
ham	We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-
ham	The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL
ham	Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning
ham	Sorry, I'll call later
ham	Aight, we'll head out in a few
ham	Jay told me already, will do
ham	I'm not sure, I was just checking out what was happening around the area
ham	That means you got an A in epi, she.s fine. She.s here now.
ham	Call me. I m unable to cal. Lets meet bhaskar, and deep
ham	Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb
ham	Damn, poor zac doesn't stand a chance
spam	Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622
"spam	You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL", PO Box 1146 MK45 2WT (2/3)
ham	We are hoping to get away by 7, from Langport. You still up for town tonight?
ham	Probably not, still going over some stuff here
ham	What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? 
ham	Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?
ham	I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?
ham	Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you
ham	How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?
ham	Sorry pa, i dont knw who ru pa?
ham	Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not.
ham	I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.
spam	Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar
ham	Yeah why not, is the gang all ready
ham	Aldrine, rakhesh ex RTM here.pls call.urgent.
ham	I guess you could be as good an excuse as any, lol.
ham	Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING
ham	4 tacos + 1 rajas burrito, right?
ham	Itâs Â£6 to get in, is that ok?
ham	Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.
ham	Nah, Wednesday. When should I bring the mini cheetos bag over?
ham	Aight, let me know when you're gonna be around usf
ham	Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*
ham	Haha... Sounds crazy, dunno can tahan anot...
spam	Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p 
ham	Sir Goodmorning, Once free call me.
